TIME(s)        UTS_NAME         MNT_NS       PID_NS       UID    EVENT            COMM             PID    TID    PPID   RET          ARGS
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      runc:[2:INIT]    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
2303           7cf298ac9650     4026532211   4026532214   0      cap_capable      entrypoint.sh    1      1      11175  0           [CAP_SYS_ADMIN]
